------------------------------------------------------------------------------------------------------------------------
                Term |                                                                     Documents it occurs in
           professor |                                                                                       {10}
              someon |                                                                                       {10}
               kunal |                                                                                       {10}
              khanna |                                                                                       {10}
             amitabh |                                                                                       {10}
            bachchan |                                                                                       {10}
             tuition |                                                                                       {10}
        biotechnolog |                                                                                       {10}
              altaaf |                                                                                       {10}
             riteish |                                                                                       {10}
            deshmukh |                                                                                       {10}
                 dal |                                                                                       {11}
              vivien |                                                                                       {11}
             oakland |                                                                                       {11}
                 wed |                                                                                       {11}
             classon |                                                                                       {11}
               ralph |                                                                                       {11}
              morgan |                                                                                       {11}
                hate |                                                                                       {11}
             convict |                                                                                       {11}
                alic |                                                                                       {11}
              provid |                                                                                       {11}
               alibi |                                                                                       {11}
              client |                                                                                       {11}
             chicago |                                                                                       {11}
              victim |                                                                                       {11}
              killer |                                                                                       {11}
           greenwich |                                                                                       {11}
              notifi |                                                                                       {11}
                suit |                                                                                       {11}
                 bit |                                                                                       {11}
               annoy |                                                                                       {11}
              actual |                                                                                       {11}
              belong |                                                                                       {11}
               donna |                                                                                       {11}
              negoti |                                                                                       {11}
            gangster |                                                                                       {11}
             kinland |                                                                                       {11}
              gossip |                                                                                       {11}
           columnist |                                                                                       {11}
             tennant |                                                                                       {11}
              russel |                                                                                       {11}
              hopton |                                                                                       {11}
               vital |                                                                                       {11}
              mantin |                                                                                       {11}
              ginger |                                                                                       {11}
               roger |                                                                                       {11}
                star |                                                                                       {11}
             actress |                                                                                       {11}
               smith |                                                                                       {11}
                bess |                                                                                       {11}
              vanish |                                                                                       {11}
            winthrop |                                                                                       {11}
               blurt |                                                                                       {11}
                nick |                                                                                       {12}
               janet |                                                                                       {12}
              danger |                                                                                       {12}
            jonathan |                                                                                       {12}
            traction |                                                                                       {12}
               crush |                                                                                       {12}
            overflow |                                                                                       {12}
             bathtub |                                                                                       {12}
                ceil |                                                                                       {12}
             stadium |                                                                                       {12}
                hunt |                                                                                       {12}
               secur |                                                                                       {12}
              lanter |                                                                                       {12}
                andi |                                                                                       {12}
              kewzer |                                                                                       {12}
               nadia |                                                                                       {12}
              monroy |                                                                                       {12}
              racist |                                                                                       {12}
              driver |                                                                                       {12}
              carter |                                                                                       {12}
              daniel |                                                                                       {12}
            samantha |                                                                                       {12}
                lane |                                                                                       {12}
            premonit |                                                                                       {12}
             collaps |                                                                                       {12}
             decapit |                                                                                       {12}
                lawn |                                                                                       {12}
             prevent |                                                                                       {12}
              street |                                                                                       {12}
                mall |                                                                                       {12}
                omen |                                                                                       {12}
               salon |                                                                                       {12}
                rock |                                                                                       {12}
              propel |                                                                                       {12}
               mower |                                                                                       {12}
              celebr |                                                                                       {12}
               allud |                                                                                       {12}
              theori |                                                                                       {12}
                 red |                                                                                       {12}
                 her |                                                                                       {12}
               meant |                                                                                       {12}
              heinou |                                                                                       {13}
               crime |                                                                                       {13}
              snatch |                                                                                       {13}
                anil |                                                                                       {13}
              siddhu |                                                                                       {13}
            snatcher |                                                                                       {13}
               hesit |                                                                                       {13}
             karthik |                                                                                       {13}
                earn |                                                                                       {13}
                alon |                                                                                       {13}
             commiss |                                                                                       {13}
             pressur |                                                                                       {13}
              shobha |                                                                                       {13}
                ekta |                                                                                       {13}
                bike |                                                                                       {13}
            srinagar |                                                                                       {13}
               kitti |                                                                                       {13}
              tortur |                                                                                       {13}
              camera |                                                                                       {13}
               flash |                                                                                       {13}
            nagendra |                                                                                       {13}
                shah |                                                                                       {13}
            classmat |                                                                                       {13}
                jame |                                                                                       {13}
              girish |                                                                                       {13}
              casual |                                                                                       {13}
              curiou |                                                                                       {13}
              sahiba |                                                                                       {14}
             virtuou |                                                                                       {14}
               desir |                                                                                       {14}
             bloodsh |                                                                                       {14}
                jeet |                                                                                       {14}
               mirza |                                                                                       {14}
                lodg |                                                                                       {14}
                farm |                                                                                       {14}
              depend |                                                                                       {14}
            flourish |                                                                                       {14}
               gippi |                                                                                       {14}
              grewal |                                                                                       {14}
               mandi |                                                                                       {14}
              takhar |                                                                                       {14}
             infiltr |                                                                                       {14}
               battl |                                                                                       {14}
              untold |                                                                                       {14}
           legendari |                                                                                       {14}
               chuck |                                                                                       {15}
            macaulay |                                                                                       {15}
                gail |                                                                                       {15}
             reunion |                                                                                       {15}
                gert |                                                                                       {15}
               spent |                                                                                       {15}
             graduat |                                                                                       {15}
                imbu |                                                                                       {15}
         valedictori |                                                                                       {15}
              speech |                                                                                       {15}
         citizenship |                                                                                       {15}
                true |                                                                                       {15}
                 loi |                                                                                       {15}
               birth |                                                                                       {15}
                joan |                                                                                       {15}
               flirt |                                                                                       {15}
            reinforc |                                                                                       {15}
                zaza |                                                                                       {15}
              chosen |                                                                                       {15}
              certif |                                                                                       {15}
              employ |                                                                                       {15}
             dresser |                                                                                       {15}
               paper |                                                                                       {15}
            reproach |                                                                                       {15}
              panick |                                                                                       {15}
              cancel |                                                                                       {15}
                card |                                                                                       {15}
              thrill |                                                                                       {15}
               loath |                                                                                       {15}
                mama |                                                                                       {16}
              harmon |                                                                                       {16}
             kenneth |                                                                                       {16}
              harlan |                                                                                       {16}
               exact |                                                                                       {16}
               orrin |                                                                                       {16}
               shift |                                                                                       {16}
                effi |                                                                                       {16}
             shannon |                                                                                       {16}
                 eve |                                                                                       {16}
            constanc |                                                                                       {16}
             talmadg |                                                                                       {16}
              hyster |                                                                                       {16}
             thought |                                                                                       {16}
             serpent |                                                                                       {16}
                adam |                                                                                       {16}
            merchant |                                                                                       {16}
            katharin |                                                                                       {16}
               kaelr |                                                                                       {16}
                nerv |                                                                                       {16}
              summar |                                                                                       {16}
             prologu |                                                                                       {16}
                eden |                                                                                       {16}
                  mr |                                                                                       {16}
                cure |                                                                                       {16}
              seeker |                                                                                       {16}
               youth |                                                                                       {17}
               rocki |                                                                                       {17}
            sullivan |                                                                                       {17}
              franki |                                                                                       {17}
                burk |                                                                                       {17}
            connolli |                                                                                       {17}
               traci |                                                                                       {17}
            railroad |                                                                                       {17}
            fountain |                                                                                       {17}
                 pen |                                                                                       {17}
             frazier |                                                                                       {17}
            humphrey |                                                                                       {17}
              bogart |                                                                                       {17}
               blame |                                                                                       {17}
               admir |                                                                                       {17}
            lifestyl |                                                                                       {17}
              wallet |                                                                                       {17}
                 leg |                                                                                       {17}
              reason |                                                                                       {17}
          pickpocket |                                                                                       {17}
              casino |                                                                                       {17}
             sentenc |                                                                                       {17}
              reform |                                                                                       {17}
            standoff |                                                                                       {17}
                ensu |                                                                                       {17}
              ledger |                                                                                       {17}
         kanakadurga |                                                                                       {18}
           jayasudha |                                                                                       {18}
                 jai |                                                                                       {18}
                 dev |                                                                                       {18}
        vamsikrishna |                                                                                       {18}
            kalidasu |                                                                                       {18}
             archana |                                                                                       {18}
             princip |                                                                                       {18}
           tanikella |                                                                                       {18}
             bharani |                                                                                       {18}
               polit |                                                                                       {18}
               rajan |                                                                                       {18}
            henchmen |                                                                                       {18}
              pratap |                                                                                       {18}
                ajay |                                                                                       {18}
              mirchi |                                                                                       {18}
           tamannaah |                                                                                       {18}
               lunat |                                                                                       {18}
          factionist |                                                                                       {18}
         rayalaseema |                                                                                       {18}
              guntur |                                                                                       {18}
              climax |                                                                                       {18}
           hyderabad |                                                                                       {18}
               photo |                                                                                       {18}
               mobil |                                                                                       {18}
                mind |                                                                                       {18}
          vinodkumar |                                                                                       {18}
               basha |                                                                                       {18}
                dori |                                                                                       {19}
               lucil |                                                                                       {19}
              watson |                                                                                       {19}
               vocal |                                                                                       {19}
                road |                                                                                       {19}
               wreck |                                                                                       {19}
             leonard |                                                                                       {19}
           penniless |                                                                                       {19}
             current |                                                                                       {19}
                palm |                                                                                       {19}
               irrit |                                                                                       {19}
               cecil |                                                                                       {19}
              assist |                                                                                       {19}
                pill |                                                                                       {19}
              potion |                                                                                       {19}
                sick |                                                                                       {19}
               assur |                                                                                       {19}
             attract |                                                                                       {19}
            whatsoev |                                                                                       {19}
               opera |                                                                                       {19}
             passion |                                                                                       {19}
                kiss |                                                                                       {19}
              steadi |                                                                                       {19}
           orchestra |                                                                                       {19}
               livid |                                                                                       {19}
               seduc |                                                                                       {19}
              reject |                                                                                       {19}
             presenc |                                                                                       {19}
            mistress |                                                                                       {19}
           treatment |                                                                                       {19}
             disastr |                                                                                       {19}
                book |                                                                                       {19}
               palac |                                                                                       {19}
               woken |                                                                                       {20}
               garri |                                                                                       {20}
             necklac |                                                                                       {20}
              intrud |                                                                                       {20}
               simon |                                                                                       {20}
              welcom |                                                                                       {20}
                fond |                                                                                       {20}
            selfridg |                                                                                       {20}
              injuri |                                                                                       {20}
                earl |                                                                                       {20}
              honest |                                                                                       {20}
              modest |                                                                                       {20}
              attach |                                                                                       {20}
              hulett |                                                                                       {20}
            affluent |                                                                                       {20}
             currier |                                                                                       {20}
             abigail |                                                                                       {20}
                luci |                                                                                       {20}
             beamont |                                                                                       {20}
             mansion |                                                                                       {20}
               stung |                                                                                       {21}
                furi |                                                                                       {21}
                stab |                                                                                       {21}
             stomach |                                                                                       {21}
                sacr |                                                                                       {21}
             denounc |                                                                                       {21}
             traitor |                                                                                       {21}
              partli |                                                                                       {21}
             kallikr |                                                                                       {21}
                 bid |                                                                                       {21}
               wrest |                                                                                       {21}
                magi |                                                                                       {21}
           forbidden |                                                                                       {21}
              occult |                                                                                       {21}
             overpow |                                                                                       {21}
              kassim |                                                                                       {21}
               civil |                                                                                       {21}
            fragment |                                                                                       {21}
               giant |                                                                                       {21}
              ayesha |                                                                                       {21}
               stood |                                                                                       {21}
             entranc |                                                                                       {21}
              engulf |                                                                                       {21}
             signifi |                                                                                       {21}
                kuma |                                                                                       {21}
              direct |                                                                                       {21}
             outward |                                                                                       {21}
           earthquak |                                                                                       {21}
            european |                                                                                       {21}
               carol |                                                                                       {21}
               drawn |                                                                                       {21}
           telepathi |                                                                                       {21}
            reincarn |                                                                                       {21}
               ruler |                                                                                       {21}
             consort |                                                                                       {21}
         predecessor |                                                                                       {21}
              achiev |                                                                                       {21}
            astronom |                                                                                       {21}
               align |                                                                                       {21}
            chaldean |                                                                                       {21}
                wise |                                                                                       {21}
              immort |                                                                                       {21}
              expand |                                                                                       {21}
              formid |                                                                                       {21}
              horror |                                                                                       {21}
              crumbl |                                                                                       {21}
                dust |                                                                                       {21}
             phillip |                                                                                       {21}
               sword |                                                                                       {21}
             command |                                                                                       {21}
               marci |                                                                                       {22}
              number |                                                                                       {22}
            sculptor |                                                                                       {22}
                kiki |                                                                                       {22}
               bridg |                                                                                       {22}
             plaster |                                                                                       {22}
                pari |                                                                                       {22}
         paperweight |                                                                                       {22}
               cream |                                                                                       {22}
               bagel |                                                                                       {22}
              sketch |                                                                                       {22}
            portrait |                                                                                       {22}
                bill |                                                                                       {22}
              window |                                                                                       {22}
                 cab |                                                                                       {22}
              pocket |                                                                                       {22}
          sculptress |                                                                                       {22}
             process |                                                                                       {22}
               stout |                                                                                       {22}
               horst |                                                                                       {22}
                club |                                                                                       {22}
              berlin |                                                                                       {22}
                 lee |                                                                                       {22}
         misadventur |                                                                                       {22}
              hostil |                                                                                       {22}
               fault |                                                                                       {22}
              harden |                                                                                       {22}
             charact |                                                                                       {22}
              depict |                                                                                       {22}
              edvard |                                                                                       {22}
               munch |                                                                                       {22}
               paint |                                                                                       {22}
             burglar |                                                                                       {22}
                 duo |                                                                                       {22}
                ajoy |                                                                                       {23}
                arun |                                                                                       {23}
              joydeb |                                                                                       {23}
               tithi |                                                                                       {23}
               numer |                                                                                       {23}
             violent |                                                                                       {23}
            chaitali |                                                                                       {23}
                pisi |                                                                                       {23}
              arpita |                                                                                       {23}
