------------------------------------------------------------------------------------------------------------------------
                Term |                                                                     Documents it occurs in
              behind |                                                                        {39, 8, 40, 20, 27}
                race |                                                                        {9, 12, 45, 47, 21}
                 old |                                                                       {10, 11, 42, 15, 28}
                stay |                                                                       {10, 15, 16, 23, 27}
             suspect |                                                                       {34, 11, 48, 49, 18}
               along |                                                                       {37, 11, 13, 18, 25}
                gang |                                                                       {36, 43, 13, 14, 49}
                plot |                                                                       {40, 41, 13, 14, 21}
              famili |                                                                       {32, 41, 13, 15, 30}
              school |                                                                       {40, 44, 15, 17, 31}
                lose |                                                                       {45, 46, 47, 16, 48}
                 win |                                                                       {40, 46, 47, 16, 49}
               crash |                                                                       {33, 39, 43, 26, 30}
             quickli |                                                                            {0, 40, 19, 20}
                citi |                                                                             {0, 2, 20, 21}
                 war |                                                                             {0, 41, 48, 6}
                 say |                                                                            {0, 10, 18, 44}
               would |                                                                              {0, 4, 6, 36}
               studi |                                                                             {0, 43, 3, 31}
               insid |                                                                            {40, 1, 10, 26}
               cabin |                                                                            {1, 42, 28, 14}
               sever |                                                                             {8, 1, 12, 24}
                 eye |                                                                            {32, 1, 27, 12}
             brought |                                                                            {1, 35, 25, 41}
                pair |                                                                              {1, 5, 30, 7}
            investig |                                                                             {8, 43, 2, 26}
              experi |                                                                              {8, 2, 3, 30}
                 put |                                                                              {24, 9, 2, 6}
               place |                                                                             {2, 35, 5, 22}
              stolen |                                                                             {48, 17, 2, 5}
             mysteri |                                                                            {11, 48, 26, 3}
                 thu |                                                                            {25, 3, 35, 43}
              immedi |                                                                            {35, 3, 20, 29}
                john |                                                                             {38, 34, 3, 6}
              insist |                                                                             {49, 3, 20, 7}
                keep |                                                                            {49, 42, 3, 29}
                voic |                                                                             {9, 10, 3, 37}
               henri |                                                                            {16, 25, 4, 39}
                move |                                                                            {4, 45, 44, 31}
               offic |                                                                              {8, 4, 5, 30}
               offer |                                                                            {4, 28, 22, 30}
              attack |                                                                            {16, 5, 30, 39}
                room |                                                                            {40, 10, 27, 5}
              crimin |                                                                             {8, 17, 5, 33}
              arrang |                                                                            {30, 45, 6, 15}
               train |                                                                             {8, 49, 19, 7}
                stop |                                                                            {34, 31, 42, 7}
               guard |                                                                            {8, 24, 12, 21}
               check |                                                                            {8, 10, 28, 37}
               point |                                                                            {40, 9, 10, 21}
            accident |                                                                            {40, 9, 41, 23}
              second |                                                                            {16, 9, 21, 15}
                wife |                                                                           {10, 45, 12, 37}
                sinc |                                                                           {33, 10, 28, 36}
             husband |                                                                           {48, 10, 19, 15}
              follow |                                                                           {10, 37, 30, 15}
               never |                                                                           {10, 35, 34, 23}
               blood |                                                                           {25, 10, 26, 28}
               chang |                                                                           {35, 10, 26, 22}
                hear |                                                                           {40, 25, 10, 45}
             student |                                                                           {25, 10, 43, 44}
               carri |                                                                           {27, 17, 11, 33}
               accus |                                                                           {16, 32, 11, 37}
                shot |                                                                           {48, 17, 11, 12}
               stage |                                                                           {19, 11, 47, 31}
              remain |                                                                           {27, 12, 38, 39}
               peopl |                                                                           {40, 12, 44, 15}
               watch |                                                                           {21, 12, 20, 31}
                well |                                                                           {35, 12, 37, 31}
                mani |                                                                           {24, 13, 14, 47}
              colleg |                                                                           {25, 18, 36, 13}
             without |                                                                           {32, 40, 36, 13}
             persuad |                                                                           {47, 31, 13, 15}
               happi |                                                                           {49, 18, 26, 13}
                town |                                                                           {40, 49, 28, 14}
              situat |                                                                           {33, 20, 41, 15}
                long |                                                                           {23, 21, 22, 15}
               parti |                                                                           {19, 45, 38, 15}
            confront |                                                                           {35, 45, 22, 15}
               truth |                                                                           {45, 23, 29, 15}
                girl |                                                                           {18, 21, 46, 15}
              doctor |                                                                           {16, 24, 35, 20}
                much |                                                                           {45, 25, 19, 37}
                york |                                                                           {26, 19, 20, 47}
               shock |                                                                           {35, 26, 19, 29}
               shoot |                                                                           {24, 20, 38, 39}
               world |                                                                           {48, 34, 43, 21}
               spare |                                                                           {24, 32, 48, 22}
                hand |                                                                           {25, 43, 41, 23}
               injur |                                                                           {42, 37, 30, 23}
                told |                                                                           {24, 48, 36, 46}
               catch |                                                                           {40, 25, 28, 31}
                 lie |                                                                           {48, 26, 37, 46}
                deal |                                                                           {46, 26, 34, 30}
                open |                                                                           {41, 36, 29, 44}
             marriag |                                                                           {32, 34, 35, 29}
              reveng |                                                                           {40, 41, 48, 49}
               creat |                                                                                  {0, 9, 6}
               grave |                                                                                 {0, 24, 6}
               resid |                                                                                 {0, 2, 19}
               unabl |                                                                                {0, 43, 13}
              outsid |                                                                                 {0, 1, 10}
              hostag |                                                                                {1, 42, 17}
             abandon |                                                                                {1, 26, 25}
                 arm |                                                                                {24, 1, 42}
               flame |                                                                                {1, 11, 21}
               anoth |                                                                                 {1, 9, 31}
              summer |                                                                                {1, 46, 15}
                wood |                                                                                {1, 42, 28}
               karen |                                                                                 {1, 25, 7}
                 sex |                                                                                {24, 1, 46}
             collect |                                                                                  {1, 3, 9}
                drop |                                                                                {2, 29, 22}
               state |                                                                                 {9, 2, 44}
              villag |                                                                                {35, 2, 11}
               dream |                                                                                {2, 34, 31}
             subsequ |                                                                                {32, 2, 35}
                 may |                                                                                 {24, 3, 5}
             destroy |                                                                                 {9, 3, 21}
                 led |                                                                                {24, 18, 3}
                 aid |                                                                                {21, 3, 13}
              replac |                                                                                 {9, 3, 45}
                sean |                                                                                {43, 3, 28}
                 fli |                                                                                {34, 3, 12}
              weapon |                                                                                 {24, 3, 7}
                food |                                                                                {3, 46, 39}
                base |                                                                                {3, 14, 39}
              commun |                                                                                 {8, 34, 3}
             surpris |                                                                                {4, 37, 39}
              robert |                                                                                {24, 11, 4}
              person |                                                                                {4, 14, 39}
               activ |                                                                                 {9, 4, 46}
                kept |                                                                                {24, 4, 37}
                sens |                                                                                 {4, 29, 6}
             compani |                                                                                {34, 4, 36}
               choic |                                                                                 {4, 13, 6}
              either |                                                                                {26, 4, 46}
                 lot |                                                                                 {8, 43, 4}
                care |                                                                                {32, 19, 5}
                 got |                                                                                {16, 36, 5}
             station |                                                                                 {8, 20, 5}
                dead |                                                                                 {5, 6, 14}
               sneak |                                                                                {27, 5, 39}
                five |                                                                                {24, 32, 5}
               thing |                                                                                {37, 13, 6}
               posit |                                                                                {30, 6, 22}
           transform |                                                                                {25, 6, 23}
              prepar |                                                                                {49, 35, 6}
                unit |                                                                                 {9, 23, 7}
               everi |                                                                                {10, 23, 7}
              messag |                                                                                {35, 15, 7}
             delight |                                                                                {32, 15, 7}
            introduc |                                                                                {15, 13, 7}
               berat |                                                                                {8, 26, 12}
               power |                                                                                {8, 21, 47}
                hurt |                                                                                {8, 28, 15}
                pass |                                                                                {8, 40, 37}
            ceremoni |                                                                                {8, 32, 15}
            survivor |                                                                                {48, 9, 39}
              longer |                                                                                {32, 9, 30}
              chines |                                                                                {9, 45, 29}
                safe |                                                                                {9, 28, 29}
              member |                                                                                {9, 36, 21}
                rape |                                                                                {24, 9, 37}
               women |                                                                                {24, 9, 42}
               coupl |                                                                               {10, 35, 23}
                look |                                                                               {10, 29, 15}
               accid |                                                                               {10, 12, 30}
                door |                                                                               {40, 10, 44}
                lock |                                                                               {25, 10, 13}
              moment |                                                                               {48, 25, 10}
              scream |                                                                               {25, 10, 22}
              lawyer |                                                                               {17, 11, 15}
                ruin |                                                                               {11, 12, 31}
           embarrass |                                                                               {19, 11, 44}
              attend |                                                                               {11, 44, 15}
              recogn |                                                                               {11, 20, 37}
               georg |                                                                               {12, 29, 36}
          girlfriend |                                                                               {12, 13, 30}
                send |                                                                               {34, 12, 31}
            reaction |                                                                               {19, 12, 46}
                join |                                                                               {37, 36, 13}
              caught |                                                                               {17, 13, 14}
                agre |                                                                               {32, 45, 13}
          background |                                                                               {20, 37, 15}
